PlayerID,TeamID,FName,LName,DOB,Height(ft),Height(in),Weight(lb),DraftYear
1,1,Jonah,Bolden,1996-01-02,6,10,220,2017
2,1,Jimmy,Butler,1989-09-14,6,8,232,2011
3,1,Joel,Embiid,1994-03-16,7,0,250,2014
4,1,James,Ennis III,1990-07-01,6,7,210,2013
5,1,Tobias,Harris,1992-07-15,6,9,235,2011
6,1,Haywood,Highsmith,1996-12-09,6,7,220,NULL
7,1,Amir,Johnson,1987-05-01,6,9,240,2005
8,1,Furkan,Korkmaz,1997-07-24,6,7,190,2016
9,1,Boban,Marjanovic,1988-08-15,7,3,290,NULL
10,1,T.J,McConnell,1992-03-25,6,2,190,NULL
11,1,Shake,Milton,1996-09-26,6,6,207,2018
12,1,Justin,Patton,1997-06-14,7,0,241,2017
13,1,JJ,Redick,1984-06-24,6,4,200,2016
14,1,Mike,Scott,1988-07-16,6,8,237,2012
15,1,Ben,Simmons,1996-07-20,6,10,230,2016
16,1,Jonathon,Simmons,1989-09-14,6,6,195,NULL
17,1,Zhaire,Smith,1999-06-04,6,4,199,2018
18,2,Al-Farouq,Aminu,1990-09-21,6,9,220,2010
19,2,Zach,Collins,1997-11-19,7,0,235,2017
20,2,Seth,Curry,1990-08-23,6,2,185,NULL
21,2,Maurice,Harkless,1993-05-11,6,9,220,2012
22,2,Rodney,Hood,1992-10-20,6,8,206,2014
23,2,Enes,Kanter,1992-05-20,6,11,250,2011
24,2,Skal,Labissiere,1996-03-18,6,11,235,2016
25,2,Jake,Layman,1994-03-07,6,9,215,2016
26,2,Meyers,Leonard,1992-02-27,7,1,255,2012
27,2,Damian,Lillard,1990-07-15,6,3,195,2012
28,2,CJ,McCollum,1991-09-19,6,3,190,2013
29,2,Jusuf,Nurkic,1994-08-23,7,0,275,2014
30,2,Anfernee,Simons,1999-06-08,6,4,185,2018
31,2,Gary,Trent Jr.,1999-01-18,6,6,205,2018
32,2,Evan,Turner,1988-10-27,6,7,220,2010
301,3,Giannis,Antetokounmpo,1994-12-06,6,11,242,2013
302,3,Eric,Bledsoe,1989-12-09,6,1,205,2010
303,3,Malcolm,Brogdon,1992-12-11,6,5,229,2016
304,3,Sterling,Brown,1995-02-10,6,6,232,2017
305,3,Bonzie,Colson,1996-01-12,6,6,225,NULL
306,3,Pat,Connaughton,1993-01-06,6,4,209,2015
307,3,Donte,DiVincenzo,1997-01-31,6,4,203,2018
308,3,Trevon,Duval,1998-08-03,6,2,189,NULL
309,3,George,Hill,1986-05-04,6,3,188,2008
310,3,Ersan,Ilyasova,1987-05-15,6,10,235,2005
311,3,Brook,Lopez,1988-04-01,7,0,270,2008
312,3,Khris,Middleton,1991-08-12,6,8,222,2012
313,3,Nikola,Mirotic,1991-02-11,6,10,250,2011
314,3,Jaylen,Morris,1995-09-19,6,5,185,NULL
315,3,Tony,Snell,1991-11-10,6,7,213,2013
316,3,D.J.,Wilson,1996-02-19,6,10,231,2017
317,3,Christian,Wood,1995-09-27,6,10,214,NULL
401,4,Rawle,Alkins,1997-10-29,6,5,225,NULL
402,4,Ryan,Arcidiacono,1994-03-26,6,3,200,NULL
403,4,Antonio,Blakeney,1996-10-04,6,4,192,NULL
404,4,Wendell,Carter Jr.,1999-04-16,6,10,255,2018
405,4,Kris,Dunn,1994-03-18,6,4,205,2016
406,4,Cristiano,Felicio,1992-07-07,6,10,265,NULL
407,4,Shaquille,Harrison,1993-10-06,6,4,190,NULL
408,4,Chandler,Hutchsion,1996-04-26,6,7,197,
409,4,Zach,LaVine,1995-03-10,6,5,200,
410,4,Robin,Lopez,1988-04-01,7,0,275,
411,4,Timothe,Luwawu-Cabarrot,1995-05-09,6,6,210,
412,4,Lauri,Markkanen,1997-05-22,7,0,240,
413,4,Otto,Porter Jr.,1993-06-03,6,8,198,
414,4,Brandon,Sampson,1997-05-01,6,5,184,
415,4,Wayne,Selden,1994-09-30,6,5,230,
416,4,Denzel,Valentine,1993-11-16,6,6,210,
501,5,Deng,Adel,1997-02-01,6,7,200,
502,5,Jaron,Blossomgame,1993-09-16,6,8,220,
503,5,Marquese,Chriss,1997-07-02,6,10,240,
504,5,Jordan,Clarkson,1992-06-07,6,5,194,
505,5,Matthew,Dellavedova,1990-09-08,6,4,200,
506,5,Channing,Frye,1983-05-17,7,0,255,
507,5,John,Henson,1990-12-28,6,11,219,
508,5,Brandon,Knight,1991-12-02,6,3,195,
509,5,Kevin,Love,1988-09-07,6,10,251,
510,5,Larry,Nance Jr.,1993-01-01,6,9,230,
511,5,David,Nwaba,1993-01-14,6,4,219,
512,5,Cedi,Osman,1995-04-08,6,8,215,
513,5,Collin,Sexton,1999-01-04,6,2,190,
514,5,JR,Smith,1985-09-09,6,6,225,
515,5,Nik,Stauskas,1993-10-07,6,6,205,
516,5,Tristan,Thompson,1991-03-13,6,10,238,
517,5,Ante,Zizic,1997-01-04,6,11,254,
601,6,Aron,Baynes,1986-12-09,6,10,260,
602,6,Jaylen,Brown,1996-10-24,6,7,220,
603,6,PJ,Dozier,1996-10-25,6,6,205,
604,6,Gordon,Hayward,1990-03-23,6,8,225,
605,6,Al,Horford,1986-06-03,6,10,245,
606,6,RJ,Hunter,1993-10-24,6,6,190,
607,6,Kyrie,Irving,1992-03-23,6,3,193,
608,6,Marcus,Morris,1989-09-02,6,9,235,
609,6,Semi,Ojeleye,1994-12-05,6,7,241,
610,6,Terry,Rozier,1994-03-17,6,1,190,
611,6,Marcus,Smart,1994-03-06,6,4,220,
612,6,Jayson,Tatum,1998-03-03,6,8,208,
613,6,Daniel,Theis,1992-04-04,6,8,243,
614,6,Brad,Wanamaker,1989-07-25,6,4,210,
615,6,Robert,Williams III,1997-10-17,6,10,240,
616,6,Guerschon,Yabusele,1995-12-17,6,8,260,
701,7,Patrick,Beverley,1988-07-12,6,1,185,
702,7,Wilson,Chandler,1987-05-10,6,9,225,
703,7,Angel,Delgado,1994-11-20,6,10,245,
704,7,Danilo,Gallinari,1988-08-08,6,10,225,
705,7,Shai,Gilgeous-Alexander,1998-07-12,6,6,181,
706,7,JaMychal,Green,1990-06-21,6,9,227,
707,7,Monstrezl,Harrell,1994-01-26,6,8,240,
708,7,Luc,Mbah a Moute,1986-09-09,6,8,230,
709,7,Johnathan,Motley,1995-05-04,6,10,230,
710,7,Jerome,Robinson,1997-02-22,6,5,190,
711,7,Landry,Shamet,1997-03-13,6,5,188,
712,7,Garrett,Temple,1986-05-08,6,6,195,
713,7,Sindarius,Thornwell,1994-11-15,6,5,215,
714,7,Tyrone,Wallace,1994-06-10,6,5,198,
715,7,Lou,Williams,1986-10-27,6,1,175,
716,7,Ivica,Zubac,1997-03-18,7,1,240,
801,8,Kyle,Anderson,1993-09-20,6,9,230,
802,8,Avery,Bradley,1990-11-26,6,2,180,
803,8,Dillon,Brooks,1996-01-22,6,6,220,
804,8,Bruno,Caboclo,1995-09-21,6,9,218,
805,8,Jevon,Carter,1995-09-14,6,2,196,
806,8,Mike,Conley,1987-10-11,6,1,175,
807,8,Tyler,Dorsey,1996-02-18,6,5,183,
808,8,Justin,Holiday,1989-04-05,6,6,181,
809,8,Jaren,Jackson Jr.,1999-09-15,6,11,242,
810,8,CJ,Miles,1987-03-18,6,6,220,
811,8,Joakim,Noah,1985-02-25,6,11,230,
812,8,Chandler,Parsons,1988-10-25,6,10,230,
813,8,Ivan,Rabb,1997-02-04,6,10,220,
814,8,Jonas,Valanciunas,1992-05-06,7,0,265,
815,8,Julian,Washburn,1991-12-18,6,8,209,
817,8,Yuta,Watanabe,1994-10-13,6,9,205,
818,8,Delon,Wright,1992-04-26,6,5,183,
